age,gender,marital_status,dependents,education_level,employment_status,occupation,annual_income,pan_card,aadhaar_number,loan_amount,loan_purpose,loan_term,interest_rate,repayment_schedule,current_loan_balance,property_type,property_valuation,ownership_status,property_age,existing_liabilities,credit_score,previous_loans,outstanding_loan_balances,credit_inquiries,debt_to_income_ratio,savings_balance,existing_debts,monthly_expenses,loan_status
31,Female,Married,2,PhD,Self-employed,Doctor,1844117.01,QEfxv1234K,644180837174,1853964,Home,24,8.36,Monthly,349329,House,3907197,Owned,28,7,532,2,414313,5,0.18,407451,316374,85771,Pending
64,Male,Married,4,Master's,Retired,Teacher,1350307.37,sMdzn1234I,977018127706,1164108,Education,120,11.88,Yearly,498137,Apartment,4663997,Owned,3,10,437,2,714970,5,0.51,115731,199413,73649,Pending
32,Male,Divorced,4,PhD,Unemployed,Lawyer,1499102.43,vwJth1234n,135022071815,2766288,Personal,24,9.71,Yearly,977493,Apartment,624891,Owned,21,10,709,1,211914,4,0.3,158870,49115,81683,Pending
30,Other,Widowed,4,High School,Employed,Doctor,251283.06,roygk1234Y,467847458763,2576643,Car,12,13.72,Monthly,371573,Apartment,3258481,Rented,9,9,534,4,782516,4,0.28,380715,164439,20362,Pending
62,Other,Married,4,Bachelor's,Retired,Doctor,603841.02,WcmoY1234J,205261212711,2857665,Business,120,11.8,Yearly,53976,Apartment,2215582,Rented,4,10,646,5,395938,3,0.21,925465,426120,97193,Rejected
46,Male,Divorced,0,High School,Self-employed,Doctor,1836426.79,WAPkb1234N,483776357768,552856,Education,36,9.75,Quarterly,780078,Apartment,3708600,Mortgaged,14,1,376,3,55426,0,0.12,98191,123913,52931,Rejected
39,Female,Married,3,PhD,Retired,Engineer,681807.41,zKLgH1234O,787992940152,1801419,Education,12,8.14,Yearly,285959,Land,2968554,Rented,22,9,428,5,626941,1,0.39,830616,55438,12912,Rejected
61,Other,Widowed,1,Master's,Self-employed,Businessperson,667375.94,ogtZQ1234Z,272405052068,1194939,Education,36,9.71,Monthly,640625,Land,2688646,Owned,25,5,774,5,486913,0,0.26,506465,259219,55273,Approved
38,Other,Widowed,4,High School,Self-employed,Engineer,305085.24,eqeqr1234x,905177055618,1893804,Business,120,8.87,Quarterly,545079,House,3211138,Mortgaged,14,0,703,1,417161,3,0.16,540985,122757,11428,Approved
59,Other,Married,2,High School,Self-employed,Artist,1189864.32,dIpNI1234V,233793143072,1913660,Car,120,8.51,Yearly,842229,Land,1562237,Owned,29,5,734,4,322000,2,0.11,601497,66056,6673,Rejected
